id	noticeCount	noticeType
ID	数量	公告类型()
1050000009	0	no
1050200002	0	no
1050300002	0	no
1050400002	0	no
1050600002	0	no
1050100002	0	no
1045013011	0	no
1045010423	0	timeTrain
1045000290	0	timeTrain
1045000500	0	timeTrain
1045000501	0	timeTrain
1045000507	0	timeTrain
1045000601	0	timeTrain
1045000602	0	timeTrain
1045000608	0	timeTrain
1045000275	0	partyBoss
1045010423	0	partyBoss
1045010406	0	partyBoss
1045010418	0	partyBoss
1045010419	0	partyBoss
1045010420	0	partyBoss
1045010421	0	partyBoss
1042010105	0	specialBoss
1045010406	0	specialBoss
1045000331	1	copyBox
1045000135	3	copyBox
1045010400	5	copyBox
1045010360	5	copyBox
1045010409	500	copyBox
1045011001	1	copyBox
1045010409	160	moneyBattle
1045010400	1	moneyBattle
1045012001	5	moneyBattle
1045000500	1	moneyBattle
1045000601	1	moneyBattle
1051000001	1	moneyBattle
1051000002	1	moneyBattle
1051000011	1	moneyBattle
1051000012	1	moneyBattle
1051000013	1	moneyBattle
1051000014	1	moneyBattle
1051000015	1	moneyBattle
1051000016	1	moneyBattle
1051000017	1	moneyBattle
1051000018	1	moneyBattle
1050007102	1	moneyBattle
1050207109	1	moneyBattle
1050307115	1	moneyBattle
1050407121	1	moneyBattle
1050607127	1	moneyBattle
1050011102	1	moneyBattle
1050211109	1	moneyBattle
1050311115	1	moneyBattle
1050411121	1	moneyBattle
1050611127	1	moneyBattle
1050010102	1	moneyBattle
1050210109	1	moneyBattle
1050310115	1	moneyBattle
1050410121	1	moneyBattle
1050610127	1	moneyBattle
1050005102	1	moneyBattle
1050205109	1	moneyBattle
1050305115	1	moneyBattle
1050405121	1	moneyBattle
1050605127	1	moneyBattle
1051000003	1	moneyBattle
1051000004	1	moneyBattle
1051000005	1	moneyBattle
1051000006	1	moneyBattle
1051000007	1	moneyBattle
1051000008	1	moneyBattle
1051000010	1	moneyBattle
1042200401	1	moneyBattle
1050007103	1	moneyBattle
1050007104	1	moneyBattle
1050207110	1	moneyBattle
1050207111	1	moneyBattle
1050307116	1	moneyBattle
1050307117	1	moneyBattle
1050407122	1	moneyBattle
1050407123	1	moneyBattle
1050607128	1	moneyBattle
1050607129	1	moneyBattle
1050011103	1	moneyBattle
1050011104	1	moneyBattle
1050211110	1	moneyBattle
1050211111	1	moneyBattle
1050311116	1	moneyBattle
1050311117	1	moneyBattle
1050411122	1	moneyBattle
1050411123	1	moneyBattle
1050611128	1	moneyBattle
1050611129	1	moneyBattle
1050010103	1	moneyBattle
1050010104	1	moneyBattle
1050210110	1	moneyBattle
1050210111	1	moneyBattle
1050310116	1	moneyBattle
1050310117	1	moneyBattle
1050410122	1	moneyBattle
1050410123	1	moneyBattle
1050610128	1	moneyBattle
1050610129	1	moneyBattle
1050005103	1	moneyBattle
1050005104	1	moneyBattle
1050205110	1	moneyBattle
1050205111	1	moneyBattle
1050305116	1	moneyBattle
1050305117	1	moneyBattle
1050405122	1	moneyBattle
1050405123	1	moneyBattle
1050605128	1	moneyBattle
1050605129	1	moneyBattle
1051000021	1	moneyBattle
1051000022	1	moneyBattle
1051000023	1	moneyBattle
1051000024	1	moneyBattle
1051000026	1	moneyBattle
1050007105	1	moneyBattle
1050007106	1	moneyBattle
1050007107	1	moneyBattle
1050207112	1	moneyBattle
1050207113	1	moneyBattle
1050207114	1	moneyBattle
1050307118	1	moneyBattle
1050307119	1	moneyBattle
1050307120	1	moneyBattle
1050407124	1	moneyBattle
1050407125	1	moneyBattle
1050407126	1	moneyBattle
1050607130	1	moneyBattle
1050607131	1	moneyBattle
1050607132	1	moneyBattle
1050011105	1	moneyBattle
1050011106	1	moneyBattle
1050011107	1	moneyBattle
1050211112	1	moneyBattle
1050211113	1	moneyBattle
1050211114	1	moneyBattle
1050311118	1	moneyBattle
1050311119	1	moneyBattle
1050311120	1	moneyBattle
1050411124	1	moneyBattle
1050411125	1	moneyBattle
1050411126	1	moneyBattle
1050611130	1	moneyBattle
1050611131	1	moneyBattle
1050611132	1	moneyBattle
1050010105	1	moneyBattle
1050010106	1	moneyBattle
1050010107	1	moneyBattle
1050210112	1	moneyBattle
1050210113	1	moneyBattle
1050210114	1	moneyBattle
1050310118	1	moneyBattle
1050310119	1	moneyBattle
1050310120	1	moneyBattle
1050410124	1	moneyBattle
1050410125	1	moneyBattle
1050410126	1	moneyBattle
1050610130	1	moneyBattle
1050610131	1	moneyBattle
1050610132	1	moneyBattle
1050005105	1	moneyBattle
1050005106	1	moneyBattle
1050005107	1	moneyBattle
1050205112	1	moneyBattle
1050205113	1	moneyBattle
1050205114	1	moneyBattle
1050305118	1	moneyBattle
