sourceId	targetId	needGoodsId	needGoodsCount	needPoint	needMoney	needHonor
当前VIP装备id	目标VIP装备id	需求材料id	需求材料数量	游戏币	人民币	荣誉
1050007102	1050007103	1045011001	2	0	0	0
1050007103	1050007104	1045011001	4	0	0	0
1050007104	1050007105	1045011001	4	0	0	0
1050007105	1050007106	1045011001	4	0	0	0
1050007106	1050007107	1045011001	4	0	0	0
1050007107	1050007108	1045011001	4	0	0	0
1050607170	1050007109	1045011001	2	0	0	0
1050207109	1050207110	1045011001	2	0	0	0
1050207110	1050207111	1045011001	4	0	0	0
1050207111	1050207112	1045011001	4	0	0	0
1050207112	1050207113	1045011001	4	0	0	0
1050207113	1050207114	1045011001	4	0	0	0
1050607176	1050207115	1045011001	2	0	0	0
1050307115	1050307116	1045011001	2	0	0	0
1050307116	1050307117	1045011001	4	0	0	0
1050307117	1050307118	1045011001	4	0	0	0
1050307118	1050307119	1045011001	4	0	0	0
1050307119	1050307120	1045011001	4	0	0	0
1050607182	1050307121	1045011001	2	0	0	0
1050407121	1050407122	1045011001	2	0	0	0
1050407122	1050407123	1045011001	4	0	0	0
1050407123	1050407124	1045011001	4	0	0	0
1050407124	1050407125	1045011001	4	0	0	0
1050407125	1050407126	1045011001	4	0	0	0
1050607188	1050407127	1045011001	2	0	0	0
1050607127	1050607128	1045011001	2	0	0	0
1050607128	1050607129	1045011001	4	0	0	0
1050607129	1050607130	1045011001	4	0	0	0
1050607130	1050607131	1045011001	4	0	0	0
1050607131	1050607132	1045011001	4	0	0	0
1050607194	1050607126	1045011001	2	0	0	0
1050011102	1050011103	1045011001	2	0	0	0
1050011103	1050011104	1045011001	4	0	0	0
1050011104	1050011105	1045011001	4	0	0	0
1050011105	1050011106	1045011001	4	0	0	0
1050011106	1050011107	1045011001	4	0	0	0
1050011107	1050011108	1045011001	4	0	0	0
1050611170	1050011109	1045011001	2	0	0	0
1050211109	1050211110	1045011001	2	0	0	0
1050211110	1050211111	1045011001	4	0	0	0
1050211111	1050211112	1045011001	4	0	0	0
1050211112	1050211113	1045011001	4	0	0	0
1050211113	1050211114	1045011001	4	0	0	0
1050611176	1050211115	1045011001	2	0	0	0
1050311115	1050311116	1045011001	2	0	0	0
1050311116	1050311117	1045011001	4	0	0	0
1050311117	1050311118	1045011001	4	0	0	0
1050311118	1050311119	1045011001	4	0	0	0
1050311119	1050311120	1045011001	4	0	0	0
1050611182	1050311121	1045011001	2	0	0	0
1050411121	1050411122	1045011001	2	0	0	0
1050411122	1050411123	1045011001	4	0	0	0
1050411123	1050411124	1045011001	4	0	0	0
1050411124	1050411125	1045011001	4	0	0	0
1050411125	1050411126	1045011001	4	0	0	0
1050611188	1050411127	1045011001	2	0	0	0
1050611127	1050611128	1045011001	2	0	0	0
1050611128	1050611129	1045011001	4	0	0	0
1050611129	1050611130	1045011001	4	0	0	0
1050611130	1050611131	1045011001	4	0	0	0
1050611131	1050611132	1045011001	4	0	0	0
1050611194	1050611126	1045011001	2	0	0	0
1050010102	1050010103	1045011001	2	0	0	0
1050010103	1050010104	1045011001	4	0	0	0
1050010104	1050010105	1045011001	4	0	0	0
1050010105	1050010106	1045011001	4	0	0	0
1050010106	1050010107	1045011001	4	0	0	0
1050010107	1050010108	1045011001	4	0	0	0
1050610170	1050010109	1045011001	2	0	0	0
1050210109	1050210110	1045011001	2	0	0	0
1050210110	1050210111	1045011001	4	0	0	0
1050210111	1050210112	1045011001	4	0	0	0
1050210112	1050210113	1045011001	4	0	0	0
1050210113	1050210114	1045011001	4	0	0	0
1050610176	1050210115	1045011001	2	0	0	0
1050310115	1050310116	1045011001	2	0	0	0
1050310116	1050310117	1045011001	4	0	0	0
1050310117	1050310118	1045011001	4	0	0	0
1050310118	1050310119	1045011001	4	0	0	0
1050310119	1050310120	1045011001	4	0	0	0
1050610182	1050310121	1045011001	2	0	0	0
1050410121	1050410122	1045011001	2	0	0	0
1050410122	1050410123	1045011001	4	0	0	0
1050410123	1050410124	1045011001	4	0	0	0
1050410124	1050410125	1045011001	4	0	0	0
1050410125	1050410126	1045011001	4	0	0	0
1050610188	1050410127	1045011001	2	0	0	0
1050610127	1050610128	1045011001	2	0	0	0
1050610128	1050610129	1045011001	4	0	0	0
1050610129	1050610130	1045011001	4	0	0	0
1050610130	1050610131	1045011001	4	0	0	0
1050610131	1050610132	1045011001	4	0	0	0
1050610194	1050610126	1045011001	2	0	0	0
1050005102	1050005103	1045011001	2	0	0	0
1050005103	1050005104	1045011001	4	0	0	0
1050005104	1050005105	1045011001	4	0	0	0
1050005105	1050005106	1045011001	4	0	0	0
1050005106	1050005107	1045011001	4	0	0	0
1050005107	1050005108	1045011001	4	0	0	0
1050605170	1050005109	1045011001	2	0	0	0
1050205109	1050205110	1045011001	2	0	0	0
1050205110	1050205111	1045011001	4	0	0	0
1050205111	1050205112	1045011001	4	0	0	0
1050205112	1050205113	1045011001	4	0	0	0
1050205113	1050205114	1045011001	4	0	0	0
1050605176	1050205115	1045011001	2	0	0	0
1050305115	1050305116	1045011001	2	0	0	0
1050305116	1050305117	1045011001	4	0	0	0
1050305117	1050305118	1045011001	4	0	0	0
1050305118	1050305119	1045011001	4	0	0	0
1050305119	1050305120	1045011001	4	0	0	0
1050605182	1050305121	1045011001	2	0	0	0
1050405121	1050405122	1045011001	2	0	0	0
1050405122	1050405123	1045011001	4	0	0	0
1050405123	1050405124	1045011001	4	0	0	0
1050405124	1050405125	1045011001	4	0	0	0
1050405125	1050405126	1045011001	4	0	0	0
1050605188	1050405127	1045011001	2	0	0	0
1050605127	1050605128	1045011001	2	0	0	0
1050605128	1050605129	1045011001	4	0	0	0
1050605129	1050605130	1045011001	4	0	0	0
1050605130	1050605131	1045011001	4	0	0	0
1050605131	1050605132	1045011001	4	0	0	0
1050605194	1050605126	1045011001	2	0	0	0
1051000001	1051001001	1045011002	2	0	0	0
1051000002	1051001002	1045011002	2	0	0	0
1051000011	1051001011	1045011002	2	0	0	0
1051000012	1051001012	1045011002	2	0	0	0
1051000013	1051001013	1045011002	2	0	0	0
1051000014	1051001014	1045011002	2	0	0	0
1051000015	1051001015	1045011002	2	0	0	0
1051000016	1051001016	1045011002	2	0	0	0
1051000017	1051001017	1045011002	2	0	0	0
1051000018	1051001018	1045011002	2	0	0	0
1051000003	1051001003	1045011002	4	0	0	0
1051000004	1051001004	1045011002	4	0	0	0
1051000005	1051001005	1045011002	4	0	0	0
1051000006	1051001006	1045011002	4	0	0	0
1051000007	1051001007	1045011002	4	0	0	0
1051000008	1051001008	1045011002	4	0	0	0
1051000010	1051001010	1045011002	4	0	0	0
1051000021	1051001021	1045011002	10	0	0	0
1051000022	1051001022	1045011002	10	0	0	0
1051000023	1051001023	1045011002	10	0	0	0
1051000024	1051001024	1045011002	10	0	0	0
