id	NPCId	iconId	name	roomId	level	overLevel	point	money	camp	familyId	type	honourPoint	taskId	goodsId	flyActivePoint	displayType	mapshelp
传送id	NPCid	图片id	目的地名称	目的地id	等级限制	等级上限	游戏币	元宝	阵营	家族ID	地图类型ID	荣誉值	完成任务ID	物品ID	传送行动值	显示类型	地图说明
0	1021070004	0	比基尼海滩01	1013010101	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	1021070004	0	奇妙广场	1013210101	0	0	0	0	0	0	0	0	0	0	0	0	0
-2	1021070004	0	荣誉圣殿	1013430101	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	1021070004	0	守护乐园	1013500101	0	0	0	0	0	0	0	0	0	0	0	0	0
-4	1021070004	0	云中城	1013510101	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1021070003	1	妖魔谷	1013020101	1	0	0	0	0	0	1	0	0	0	1	100-150	你选择的目标区域怪物等级  100-150
2	1021070003	2	渤岛	1013030101	1	0	0	0	0	0	1	0	0	0	1	150-200	你选择的目标区域怪物等级  150-200
3	1021070003	3	神异之岛	1013040101	1	0	0	0	0	0	1	0	0	0	1	200-250	你选择的目标区域怪物等级  200-250
4	1021070003	4	死亡征途	1013050101	1	0	0	0	0	0	1	0	0	0	1	250-300	你选择的目标区域怪物等级  250-300
5	1021070003	1	妖魔谷	1013020111	1	0	0	0	0	0	2	0	0	0	1	300-350	你选择的目标区域怪物等级  300-350
6	1021070003	2	渤岛	1013030111	1	0	0	0	0	0	2	0	0	0	1	350-400	你选择的目标区域怪物等级  350-400
7	1021070003	3	神异之岛	1013040111	1	0	0	0	0	0	2	0	0	0	1	400-450	你选择的目标区域怪物等级  400-450
8	1021070003	4	死亡征途	1013050111	1	0	0	0	0	0	2	0	0	0	1	450-500	你选择的目标区域怪物等级  450-500
9	1021070003	1	妖魔谷	1013020121	1	0	0	0	0	0	3	0	0	0	1	500-550	你选择的目标区域怪物等级  500-550
10	1021070003	2	渤岛	1013030121	1	0	0	0	0	0	3	0	0	0	1	550-600	你选择的目标区域怪物等级  550-600
11	1021070003	3	神异之岛	1013040121	1	0	0	0	0	0	3	0	0	0	1	600-650	你选择的目标区域怪物等级  600-650
12	1021070003	4	死亡征途	1013050121	1	0	0	0	0	0	3	0	0	0	1	650-700	你选择的目标区域怪物等级  650-700
13	1021070003	1	妖魔谷	1013020131	1	0	0	0	0	0	4	0	0	0	1	700-750	你选择的目标区域怪物等级  700-750
14	1021070003	2	渤岛	1013030131	1	0	0	0	0	0	4	0	0	0	1	750-800	你选择的目标区域怪物等级  750-800
15	1021070003	3	神异之岛	1013040131	1	0	0	0	0	0	4	0	0	0	1	800-850	你选择的目标区域怪物等级  800-850
16	1021070003	4	死亡征途	1013050131	1	0	0	0	0	0	4	0	0	0	1	850-900	你选择的目标区域怪物等级  850-900
17	1021070003	5	篮球行者	1013070101	1	0	0	0	0	0	6	0	0	0	0	200-200	0
18	1021070003	6	足球行者	1013070102	1	0	0	0	0	0	6	0	0	0	0	200-200	0
19	1021070003	7	夺命监视者	1013070103	1	0	0	0	0	0	6	0	0	0	0	300-300	0
20	1021070003	8	刻薄监视者	1013070104	1	0	0	0	0	0	6	0	0	0	0	300-300	0
21	1021070003	9	暴怒监视者	1013070105	1	0	0	0	0	0	6	0	0	0	0	300-300	0
22	1021070003	10	致命天使	1013070106	1	0	0	0	0	0	6	0	0	0	0	400-400	0
23	1021070003	11	红衣判决者	1013070107	1	0	0	0	0	0	6	0	0	0	0	400-400	0
24	1021070003	12	冷酷判决者	1013070108	1	0	0	0	0	0	6	0	0	0	0	500-500	0
25	1021070003	13	残暴判决者	1013070109	1	0	0	0	0	0	6	0	0	0	0	500-500	0
26	1021070003	14	蝙蝠判决者	1013070110	1	0	0	0	0	0	6	0	0	0	0	500-500	0
27	1021070003	15	幻影萝莉	1013070111	1	0	0	0	0	0	6	0	0	0	0	600-600	0
28	1021070003	16	幻影战警	1013070112	1	0	0	0	0	0	6	0	0	0	0	600-600	0
29	1021070003	17	幻影拳王	1013070113	1	0	0	0	0	0	6	0	0	0	0	700-700	0
30	1021070003	18	幻影绷带萝莉	1013070114	1	0	0	0	0	0	6	0	0	0	0	700-700	0
31	1021070003	19	幻影月亮战士	1013070115	1	0	0	0	0	0	6	0	0	0	0	700-700	0
32	1021070003	20	小强阴暗体	1013070116	1	0	0	0	0	0	6	0	0	0	0	800-800	0
33	1021070003	21	功夫妹阴暗体	1013070117	1	0	0	0	0	0	6	0	0	0	0	800-800	0
34	1021070003	22	美丽幻象	1013070118	1	0	0	0	0	0	6	0	0	0	0	900-900	0
35	1021070003	23	魅魔幻象	1013070119	1	0	0	0	0	0	6	0	0	0	0	900-900	0
36	1021070003	24	奇妙热斗场	1013060101	1	0	0	0	0	0	5	0	0	0	0	0	开放时间：每周六19：40开放备战厅，20：00——21：00活动正式开始。
37	1021070003	25	长滩公园	1013080101	1	0	0	0	0	0	7	0	0	0	1	900-1000	你选择的目标区域怪物等级  900-1000
38	1021070003	26	无尽之湖	1013090101	1	0	0	0	0	0	7	0	0	0	1	1000-1100	你选择的目标区域怪物等级  1000-1100
39	1021070003	27	绿野仙踪	1013100101	1	0	0	0	0	0	7	0	0	0	1	1100-1200	你选择的目标区域怪物等级  1100-1200
40	1021070003	28	浩瀚雪山	1013110101	1	0	0	0	0	0	7	0	0	0	1	1200-1300	你选择的目标区域怪物等级  1200-1300
41	1021070003	25	长滩公园	1013080111	1	0	0	0	0	0	8	0	0	0	1	1300-1400	你选择的目标区域怪物等级  1300-1400
42	1021070003	26	无尽之湖	1013090111	1	0	0	0	0	0	8	0	0	0	1	1400-1500	你选择的目标区域怪物等级  1400-1500
43	1021070003	27	绿野仙踪	1013100111	1	0	0	0	0	0	8	0	0	0	1	1500-1600	你选择的目标区域怪物等级  1500-1600
44	1021070003	28	浩瀚雪山	1013110111	1	0	0	0	0	0	8	0	0	0	1	1600-1700	你选择的目标区域怪物等级  1600-1700
45	1021070003	25	长滩公园	1013080121	1	0	0	0	0	0	9	0	0	0	1	1700-1800	你选择的目标区域怪物等级  1700-1800
46	1021070003	26	无尽之湖	1013090121	1	0	0	0	0	0	9	0	0	0	1	1800-1900	你选择的目标区域怪物等级  1800-1900
47	1021070003	27	绿野仙踪	1013100121	1	0	0	0	0	0	9	0	0	0	1	1900-2000	你选择的目标区域怪物等级  1900-2000
48	1021070003	37	靓女三人组	1013070128	1	0	0	0	0	0	6	0	0	0	0	1000-1000	0
49	1021070003	29	运动二人组	1013070120	1	0	0	0	0	0	6	0	0	0	0	1200-1200	0
50	1021070003	30	怪医小分队	1013070121	1	0	0	0	0	0	6	0	0	0	0	1200-1200	0
51	1021070003	31	超级双飞燕	1013070122	1	0	0	0	0	0	6	0	0	0	0	1500-1500	0
52	1021070003	32	破军男女	1013070123	1	0	0	0	0	0	6	0	0	0	0	1500-1500	0
53	1021070003	33	月亮丽人	1013070124	1	0	0	0	0	0	6	0	0	0	0	1700-1700	0
54	1021070003	34	战斗行家	1013070125	1	0	0	0	0	0	6	0	0	0	0	1700-1700	0
55	1021070003	35	血色十字军	1013070126	1	0	0	0	0	0	6	0	0	0	0	2000-2000	0
