id	name	level	type	iconId	point	token	money	repeatNumber	bindMode	remark	job	equipLocation	extAtt	phyAtt	sptAtt	phyDef	sptDef	power	agility	spirit	wisdom	lifePoint	magicPoint	curePoint	phySmiteRate	sptSmiteRate	phySmiteParm	sptSmiteParm	phyHurtAvoid	sptHurtAvoid	clearPhySmite	clearSptSmite	clearPhySmiteParm	clearSptSmiteParm	isVIP	isDel 	phyAttExt	sptAttExt	phySmiteParmExt	sptSmiteParmExt	lifePointExt	clearPhySmiteParmExt	clearSptSmiteParmExt
编号	名称	需求等级	道具类别	美术资源ID	游戏中价值	代金(rmb)价格	元宝	每组堆叠数量	绑定模式	文字描述	所属职业	装备位置	默认属性	物理攻击（基础）	精神攻击（基础）	物理防御	精神防御	力量	敏捷	精神	智慧	生命	精力	治疗值	物理爆击率	精神爆击率	物理爆击伤害倍率	精神爆击伤害倍率	物理免伤	精神免伤	抗物理暴击率	抗精神爆击率	抗物理爆击伤害倍率	抗精神爆击伤害倍率	是否vip	能否丢弃	物理攻击追加	精神攻击追加	物理爆击伤害倍率	精神爆击伤害倍率	生命追加	抗物理暴击伤害追加	抗精神爆击伤害追加
1051301001	1级小花头饰（物）	1	34	1151301001	100000	0	0	1	2	0	1:101	0	phyAtt:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10:550	0	0	0	0	0	0
1051301002	2级小花头饰（物）	1	34	1151301002	100000	0	0	1	2	0	1:101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	10:600	0	0	0	0	0	0
1051301003	3级小花头饰（物）	1	34	1151301003	100000	0	0	1	2	0	1:101	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	1000	0	0	0	0	0	0	0	0	0	10:650	0	0	0	0	0	0
1051301004	4级小花头饰（物）	1	34	1151301004	100000	0	0	1	2	0	1:101	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	2500	0	0	0	0	0	0	0	0	0	10:700	0	0	0	0	0	0
1051311001	1级小花头饰（魔）	1	34	1151301001	100000	0	0	1	2	0	2:102	0	sptAtt:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10:550	0	0	0	0	0
1051311002	2级小花头饰（魔）	1	34	1151301002	100000	0	0	1	2	0	2:102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	10:600	0	0	0	0	0
1051311003	3级小花头饰（魔）	1	34	1151301003	100000	0	0	1	2	0	2:102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1000	0	0	0	0	0	0	0	0	0	10:650	0	0	0	0	0
1051311004	4级小花头饰（魔）	1	34	1151301004	100000	0	0	1	2	0	2:102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	1000	0	0	0	0	0	0	0	0	0	10:700	0	0	0	0	0
1051302001	1级黄金铃铛（物）	1	34	1151301005	100000	0	0	1	2	0	1:101	1	phySmiteParm:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10:120	0	0	0	0
1051302002	2级黄金铃铛（物）	1	34	1151301006	100000	0	0	1	2	0	1:101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	1	0	0	0	10:130	0	0	0	0
1051302003	3级黄金铃铛（物）	1	34	1151301007	100000	0	0	1	2	0	1:101	1	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	1000	0	0	0	0	0	0	0	1	0	0	0	10:140	0	0	0	0
1051302004	4级黄金铃铛（物）	1	34	1151301008	100000	0	0	1	2	0	1:101	1	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	2500	0	0	0	0	0	0	0	1	0	0	0	10:150	0	0	0	0
1051322001	1级黄金铃铛（魔）	1	34	1151301005	100000	0	0	1	2	0	2:102	1	sptSmiteParm:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10:120	0	0	0
1051322002	2级黄金铃铛（魔）	1	34	1151301006	100000	0	0	1	2	0	2:102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	1	0	0	0	0	10:130	0	0	0
1051322003	3级黄金铃铛（魔）	1	34	1151301007	100000	0	0	1	2	0	2:102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1000	0	0	0	0	0	0	1	0	0	0	0	10:140	0	0	0
1051322004	4级黄金铃铛（魔）	1	34	1151301008	100000	0	0	1	2	0	2:102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	1000	0	0	0	0	0	0	1	0	0	0	0	10:150	0	0	0
1051303001	1级手绢（物）	1	34	1151301013	100000	0	0	1	2	0	3:103	0	lifePoint:500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	100:4500	0	0
1051303002	2级手绢（物）	1	34	1151301014	100000	0	0	1	2	0	3:103	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100:5000	0	0
