id	name	level	type	logicType	modelMotionId	iconId	bodyType	maxHitPoint	hitPoint	experience	maxMagicPoint	magicPoint	minForceAttack	maxForceAttack	minIFAttack	maxIFAttack	forceDefense	IFDefense	chanceToHit	chanceToDodge	IFResistance	expLevel	effectDisplayID	normalDropRate	questDropRate	eventPoint	boxId	clearPhySmite	clearSptSmite	clearPhySmiteParm	clearSptSmiteParm	clearNoDefHurt
编号	名称	等级	类型	逻辑类别	模型动画id	头像id	体型	最大生命	当前生命	经验值	最大精力	当前精力	最小物理攻击	最大物理攻击	最小精神攻击	最大精神攻击	物理防御	精神防御	命中	回避	精神抵抗	经验获取等级	效果ID	掉落组编号	任务掉宝组	事件点数	宝箱ID	抗物理暴击率	抗精神暴击率	抗物理暴击伤害	抗精神暴击伤害	抗忽视伤害
1061001001	极速荷叶球(魔)	10	1	1	1161000092	0	0	55	55	120	0	0	0	0	2	2	0	0	0	0	0	10000	0	10001	0	1	0	0	0	0	0	0
1061001002	闪电兔(物)	20	1	1	1161000094	0	0	165	165	200	0	0	27	27	0	0	0	0	0	0	0	10000	0	10002	0	1	0	0	0	0	0	0
1061000003	游荡精灵(魔)	30	1	1	1161000093	0	0	231	231	348	0	0	0	0	40	40	0	0	0	0	0	10000	0	10003	0	1	0	0	0	0	0	0
1061000004	发狂荷叶球(物)	40	1	1	1161000092	0	0	302	302	800	0	0	40	40	0	0	0	0	0	0	0	10000	0	10004	0	1	0	0	0	0	0	0
1061001005	攻击精灵(魔)	50	1	1	1161000093	0	0	379	379	1040	0	0	0	0	50	50	0	0	0	0	0	10000	0	10005	0	1	0	0	0	0	0	0
1061001006	狂暴兔(物)	60	1	1	1161000094	0	0	461	461	882	0	0	50	50	0	0	0	0	0	0	0	10000	0	10006	0	1	0	0	0	0	0	0
1061000007	变种水球(魔)	70	1	1	1161000092	0	0	548	548	934	0	0	0	0	60	60	0	0	0	0	0	10000	0	10007	0	1	0	0	0	0	0	0
1061001008	堕落精灵体(物)	80	1	1	1161000093	0	0	641	641	960	0	0	60	60	0	0	0	0	0	0	0	10000	0	10008	0	1	0	0	0	0	0	0
1061000009	贱兔子(魔)	90	1	1	1161000094	0	0	739	739	980	0	0	0	0	70	70	0	0	0	0	0	10000	0	10009	0	1	0	0	0	0	0	0
1061000010	荷叶守护者(魔)	80	1	1	1161000092	0	0	650	650	400	0	0	0	0	70	70	0	0	0	0	0	10000	0	10008	0	1	0	0	0	0	0	0
1061001010	杀手之星(物)	100	0	1	1161000006	0	0	488	488	500	0	0	141	141	0	0	1000	0	0	0	0	10000	0	10010	0	3	0	0	0	0	0	0
1061001011	恐怖毒牙(魔)	105	1	1	1161000031	0	0	518	518	510	0	0	0	0	142	142	0	1000	0	0	0	10000	0	10011	0	3	0	0	0	0	0	0
1061000011	痞子猫(物)	110	1	1	1161000017	0	0	549	549	520	0	0	144	144	0	0	1000	0	0	0	0	10000	0	10012	0	3	0	0	0	0	0	0
1061000012	獠牙蝙蝠(魔)	115	1	1	1161000031	0	0	582	582	530	0	0	0	0	146	146	0	1000	0	0	0	10000	0	10013	0	3	0	0	0	0	0	0
1061001012	飞天小妖(物)	120	0	1	1161000006	0	0	614	614	540	0	0	148	148	0	0	1000	0	0	0	0	10000	0	10014	0	3	0	0	0	0	0	0
1061001013	霹雳猫猫(魔)	125	1	1	1161000017	0	0	648	648	550	0	0	0	0	149	149	0	1000	0	0	0	10000	0	10015	0	3	0	0	0	0	0	0
1061000013	蓝色小蝙蝠（物）	130	1	1	1161000031	0	0	682	682	560	0	0	151	151	0	0	1000	0	0	0	0	10000	0	10016	0	3	0	0	0	0	0	0
1061000014	机关猫(魔)	135	1	1	1161000017	0	0	717	717	570	0	0	0	0	153	153	0	1000	0	0	0	10000	0	10017	0	3	0	0	0	0	0	0
1061001014	红衣毒女(物)	140	0	1	1161000006	0	0	752	752	580	0	0	156	156	0	0	1000	0	0	0	0	10000	0	10018	0	3	0	0	0	0	0	0
1061000015	女盗贼(魔)	150	0	1	1161000018	0	0	1146	1146	700	0	0	0	0	292	292	0	1000	0	0	0	10000	0	10019	0	3	0	0	0	0	0	0
1061001015	邪恶护士(物)	155	0	1	1161000012	0	0	1206	1206	750	0	0	303	303	0	0	1000	0	0	0	0	10000	0	10020	0	3	0	0	0	0	0	0
1061000016	战斗公鸡(魔)	160	1	1	1161000026	0	0	1267	1267	800	0	0	0	0	313	313	0	1000	0	0	0	10000	0	10021	0	3	0	0	0	0	0	0
1061001016	神风怪盗(物)	165	0	1	1161000018	0	0	1330	1330	850	0	0	324	324	0	0	1000	0	0	0	0	10000	0	10022	0	3	0	0	0	0	0	0
