id	name	areaId	roomId	iconId	modelId	x	y	script	attach	shopId
编号	名称	区域ID	房间ID	头像ID	模型ID	x坐标	y坐标	脚本	附加信息	商店ID
1021060001	普通商店	1012010100	1013010111	2021060001	1121060001	995	330	0	0	1111111111
1021070003	时光穿梭门	1012010100	1013010111	0	1121070004	2470	415	0	0	0
1021120001	装备合成大师	1012010100	1013010111	2021120001	1121030004	1470	330	0	0	0
1021090101	仓库管理员	1012010100	1013010111	2021090101	1121090033	2000	330	0	0	0
1021090079	练级任务官	1012010100	1013010111	2021090079	1121040002	505	330	0	0	0
1021150001	万能管家	1012010100	1013010111	2021150001	1121090035	320	330	0	0	2000000000
1021150002	寄卖商人	1012010100	1013010111	2021150002	1121090002	1300	330	0	0	0
1021070004	时光穿梭门	1012010100	1013010111	0	1121070004	100	415	0	0	0
1021010001	草莓姐姐	1012010100	1013010101	2021010001	1121010002	775	270	0	0	0
1021010002	蜜桃姐姐	1012010100	1013010102	2021010002	1121010004	775	270	0	0	0
1021010003	西瓜姐姐	1012010100	1013010103	2021010003	1121010005	775	270	0	0	0
1021010004	苹果姐姐	1012010100	1013010104	2021010004	1121010006	775	270	0	0	0
1021010005	荔枝姐姐	1012010100	1013010105	2021010005	1121010007	775	270	0	0	0
1021010006	凤梨姐姐	1012010100	1013010106	2021010006	1121010008	775	270	0	0	0
1021120002	炼化大师	1012010100	1013010111	2021120002	1121050001	1650	330	0	0	0
1021090083	奇妙小博士	1012010100	1013010111	0	1121040004	2130	330	answer	0	0
1021090080	冲级奖励任务官	1012010100	1013010111	2021090080	1121050002	740	330	0	0	0
1021090081	热斗场指挥官	1012060100	1013060101	2021090081	1121090004	1150	330	0	0	0
1021090081	热斗场指挥官	1012060100	1013060102	2021090081	1121090006	1150	330	0	0	0
1021090082	热斗场军需官	1012060100	1013060101	2021060001	1121060001	1040	330	0	0	1111111111
1021090082	热斗场军需官	1012060100	1013060102	2021060001	1121060001	1040	330	0	0	1111111111
1021090084	热斗场裁决MM	1012060100	1013060103	2021010001	1121010002	1080	200	0	0	1222222222
1021060002	VIP商店	1012010100	1013010111	2021150002	1121090001	868	330	0	0	1000000000
1021090085	每日任务官	1012010100	1013010111	2021090085	1121040001	622	330	0	0	0
1021150003	爱神	1012210100	1013210101	2021150003	1121010003	795	330	0	0	0
1021150004	奇妙大博士	1012210100	1013210101	2021150004	1121090038	540	330	0	0	0
1021150006	奇妙炼金术士	1012210100	1013210101	2021150006	1121090039	1000	330	0	0	0
1021150007	阿蒙船长	1012430100	1013430101	2021150007	1121090041	1280	330	0	0	0
1021070005	黄金斗士入口	1012420100	1013420101	0	1121070004	1450	415	0	0	0
1021070006	女神斗士	1012430100	1013430101	0	1121070004	550	330	hide:1	0	0
1021070007	无双斗士	1012430100	1013430101	0	1121070004	700	330	hide:2	0	0
1021070008	天地斗士	1012430100	1013430101	0	1121070004	850	330	hide:3	0	0
1021070009	天下斗士	1012430100	1013430101	0	1121070004	1000	330	hide:4	0	0
1021070010	天上斗士	1012430100	1013430101	0	1121070004	1150	330	hide:5	0	0
1021070011	创世女神	1012430100	1013430101	2021070011	1121010010	320	330	0	0	0
1021070012	黄金斗士解说员	1012420100	1013420101	2021090081	1121090006	1150	330	0	0	0
1021070013	黄金斗士百货店	1012420100	1013420101	2021060001	1121060001	1040	330	0	0	1111111112
1021150008	彩霞仙子	1012480100	1013480101	2021090080	1121050002	320	330	0	0	0
1021150010	小雪	1012500100	1013500101	2021150009	1121050003	720	330	0	0	1000000003
1021150011	麻辣教师	1012500100	1013500101	2021090015	1121090015	950	330	0	0	0
1021150012	农场MM	1012490200	1013490203	2021010003	1121010005	320	330	0	0	0
1021070014	形象大师	1012210100	1013210101	2021150001	1121090035	320	330	0	0	0
1021150014	毁灭天使	1012510100	1013510101	2021150014	1121090042	700	330	0	0	0
