id	name	level	effectList	effectRangeList	targetType	profession	weaponType	CDTimer	rate2	rate3	magic	hate	iconId	order	type
技能编号	技能名称	等级	效果编号	技能范围	目标类型	所属职业	所需武器大类	CD时间	效果2几率	效果3几率	耗蓝	仇恨	技能图表ID	排序号	类型
1031000001	普通攻击	1	1034020101:0:0	1	2:0:0	0:0:0:0:0:0:0	0	0	0	0	0	0	1131000001	0	0
1031020001	基础射门	1	1034020107:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	20	0	1131020001	1	0
1031020201	流星火球	1	1034020103:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	50	0	1131070001	2	0
1031020202	流星火球	2	1034020122:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	200	0	1131070001	2	0
1031020203	流星火球	3	1034020126:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	400	0	1131070001	2	0
1031020204	流星火球	4	1034020128:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	600	0	1131070001	2	0
1031020205	流星火球	5	1034020134:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	800	0	1131070001	2	0
1031020206	流星火球	6	1034020135:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	1000	0	1131070001	2	0
1031020207	流星火球	7	1034020139:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	1200	0	1131070001	2	0
1031020208	流星火球	8	1034020140:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	1500	0	1131070001	2	0
1031020209	流星火球	9	1034020141:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	1700	0	1131070001	2	0
1031020210	流星火球	10	1034020142:0:0	1	2:0:0	7:0:0:0:0:0:0	0	0	0	0	2000	0	1131070001	2	0
1031020101	回旋踢	1	1034020116:0:0	2	2:0:0	7:0:0:0:0:0:0	0	0	0	0	200	0	1131020201	3	0
1031020102	回旋踢	2	1034020101:0:0	2	2:0:0	7:0:0:0:0:0:0	0	0	0	0	400	0	1131020201	3	0
1031020103	回旋踢	3	1034020104:0:0	2	2:0:0	7:0:0:0:0:0:0	0	0	0	0	600	0	1131020201	3	0
1031020104	回旋踢	4	1034020120:0:0	2	2:0:0	7:0:0:0:0:0:0	0	0	0	0	800	0	1131020201	3	0
1031020105	回旋踢	5	1034020126:0:0	2	2:0:0	7:0:0:0:0:0:0	0	0	0	0	1000	0	1131020201	3	0
