goodsId	name	saleRate	buyRate	honour
物品ID	名字	出售比率	买入比率	荣誉值价格
1050102004	冒险者力量头饰	30	100	2000
1050102005	残酷冒险者力量头饰	30	100	8000
1050102006	复仇冒险者力量头饰	30	100	18000
1050102007	野蛮冒险者力量头饰	30	100	45000
1050102008	憎恨冒险者力量头饰	30	100	80000
1050101004	冒险者敏捷头饰	30	100	2000
1050101005	残酷冒险者敏捷头饰	30	100	8000
1050101006	复仇冒险者敏捷头饰	30	100	18000
1050101007	野蛮冒险者敏捷头饰	30	100	45000
1050101008	憎恨冒险者敏捷头饰	30	100	80000
1050103004	冒险者精神头饰	30	100	2000
1050103005	残酷冒险者精神头饰	30	100	8000
1050103006	复仇冒险者精神头饰	30	100	18000
1050103007	野蛮冒险者精神头饰	30	100	45000
1050103008	憎恨冒险者精神头饰	30	100	80000
1050104004	冒险者智慧头饰	30	100	2000
1050104005	残酷冒险者智慧头饰	30	100	8000
1050104006	复仇冒险者智慧头饰	30	100	18000
1050104007	野蛮冒险者智慧头饰	30	100	45000
1050104008	憎恨冒险者智慧头饰	30	100	80000
1050502024	冒险者力量护腕	30	100	2000
1050502025	残酷冒险者力量护腕	30	100	8000
1050502026	复仇冒险者力量护腕	30	100	18000
1050502027	野蛮冒险者力量护腕	30	100	45000
1050502028	憎恨冒险者力量护腕	30	100	80000
1050501024	冒险者敏捷肩章	30	100	2000
1050501025	残酷冒险者敏捷肩章	30	100	8000
1050501026	复仇冒险者敏捷肩章	30	100	18000
1050501027	野蛮冒险者敏捷肩章	30	100	45000
1050501028	憎恨冒险者敏捷肩章	30	100	80000
1050503024	冒险者精神腕饰	30	100	2000
1050503025	残酷冒险者精神腕饰	30	100	8000
1050503026	复仇冒险者精神腕饰	30	100	18000
1050503027	野蛮冒险者精神腕饰	30	100	45000
1050503028	憎恨冒险者精神腕饰	30	100	80000
1050504024	冒险者智慧手镯	30	100	2000
1050504025	残酷冒险者智慧手镯	30	100	8000
1050504026	复仇冒险者智慧手镯	30	100	18000
1050504027	野蛮冒险者智慧手镯	30	100	45000
1050504028	憎恨冒险者智慧手镯	30	100	80000
1045010411	宝宝金水	30	100	1000
1045027001	求婚戒指	30	100	21000
1045030002	狸猫树叶	30	100	5000
1041010027	五万生命荣誉药水	30	100	10
1041010028	十万生命荣誉药水	30	100	20
1041010029	二十万生命荣誉药水	30	100	30
1041020014	五万点精力荣誉药水	30	100	10
1041020015	十万点精力荣誉药水	30	100	20
1041020016	二十万点精力荣誉药水	30	100	30
1050700064	冒险者生命项链	30	100	2000
1050700065	冒险者精力项链	30	100	2000
1050700066	残酷冒险者生命项链	30	100	8000
1050700067	残酷冒险者精力项链	30	100	8000
1050700068	复仇冒险者生命项链	30	100	18000
1050700069	复仇冒险者精力项链	30	100	18000
1050700072	野蛮冒险者生命项链	30	100	45000
1050700073	野蛮冒险者精力项链	30	100	45000
1050700070	憎恨冒险者生命项链	30	100	80000
1050700071	憎恨冒险者精力项链	30	100	80000
1050800020	冒险者指环	30	100	2000
1050800021	残酷冒险者指环	30	100	8000
1050800022	复仇冒险者指环	30	100	18000
1050800023	野蛮冒险者指环	30	100	45000
1050800024	憎恨冒险者指环	30	100	80000
