goodsId	sourceId
ŒÔ∆∑Id	¿Ò»ØId
1045013150	1045028031
1045013158	1045028034
1045013152	1045028033
1045013067	1045028025
1045013159	1045028035
1045013050	1045028014
1045013160	1045028036
1045013055	1045028016
1045013056	1045028017
1045013151	1045028032
1045013063	1045028023
1045013068	1045028026
1045013070	1045028028
1045013071	1045028029
1045013049	1045028013
1045013054	1045028015
1045013017	1045028002
1045013019	1045028004
1045013020	1045028005
1045013057	1045028005
1045013021	1045028006
1045013065	1045028006
1045013022	1045028007
1045013023	1045028008
1045013024	1045028008
1045013025	1045028009
1045013026	1045028009
1045013027	1045028010
1045013028	1045028010
