goodsId	name	saleRate	buyRate
物品ID	名字	出售比率	买入比率
1047000002	小花猫（物）	30	100
1047000003	小花猫（魔）	30	100
1047000004	河马（物）	30	100
1047000005	河马（魔）	30	100
1047000006	牛牛（物）	30	100
1047000007	牛牛（魔）	30	100
1047000008	小猴子（物）	30	100
1047000009	小猴子（魔）	30	100
1047000010	狮子（物）	30	100
1047000011	狮子（魔）	30	100
1047000012	粽子（物）	30	100
1047000013	粽子（魔）	30	100
1045000346	炼化砂石	30	100
1045000347	精炼砂石	30	100
1051301001	1级小花头饰（物）	30	100
1051311001	1级小花头饰（魔）	30	100
1051302001	1级黄金铃铛（物）	30	100
1051322001	1级黄金铃铛（魔）	30	100
1051303001	1级手绢（物）	30	100
1051333001	1级手绢（魔）	30	100
1051304001	1级袖珍荷叶球（物）	30	100
1051344001	1级袖珍荷叶球（魔）	30	100
1051305001	1级牛掌（物）	30	100
1051355001	1级牛掌（魔）	30	100
1051306001	1级金刚角（物）	30	100
1051366001	1级金刚角（魔）	30	100
1051307001	1级MP4（物）	30	100
1051377001	1级MP4（魔）	30	100
1051308001	1级时尚装备（物）	30	100
1051388001	1级时尚装备（魔）	30	100
1051309001	1级金刚爪（物）	30	100
1051399001	1级金刚爪（魔）	30	100
1051310001	1级狮心（物）	30	100
1051312001	1级狮心（魔）	30	100
1051313001	1级粽叶（物）	30	100
1051314001	1级粽叶（魔）	30	100
1051315001	1级馅料大全（物）	30	100
1051316001	1级馅料大全（魔）	30	100
