goodsId	name	saleRate	buyRate
物品ID	名字	出售比率	玩家买入比率
1045000030	0.5小时4倍经验卡	30	100
1045000031	1小时4倍经验卡	30	100
1045000032	2小时4倍经验卡	30	100
1045000034	4小时4倍经验卡	30	100
1045000183	五百万生命宝石	30	100
1045000500	一千万生命宝石	30	100
1045000501	两千万生命宝石	30	100
1045000507	四千万生命宝石	30	100
1045000508	一亿生命宝石	30	100
1045000185	五百万精力宝石	30	100
1045000601	一千万精力宝石	30	100
1045000602	两千万精力宝石	30	100
1045000608	四千万精力宝石	30	100
1045000609	一亿精力宝石	30	100
1045000212	8小时4倍挂机经验卡	30	100
1045000215	12小时4倍挂机经验卡	30	100
1045000218	24小时4倍挂机经验卡	30	100
1045012003	微型宠物活跃剂（1点）	30	100
1045012009	大型宠物活跃剂（10点）	30	100
1045000343	魔幻药水	30	100
1045013153	魔幻药水礼包	30	100
1045000354	快速修炼卡	30	100
1045013155	快速修炼卡礼包	30	100
1045000355	守护神口粮	30	100
1045012002	微型仓库拓展道具（1格）	30	100
1045012006	大型仓库拓展道具（9格）	30	100
1045012001	行动值小礼包	30	100
1041030001	紫药	30	100
1045013111	升级超级大礼包	30	100
1045013112	升级无双大礼包	30	100
1045013146	真无双大礼包	30	100
1045027010	喇叭礼包	30	100
1045013012	一百张自动挂机卡包	30	100
1045013015	两千张自动挂机卡包	30	100
1045013098	时空旅行船票礼包	30	100
1045000230	改名卡	30	100
1045010407	金砂	30	100
1045011001	进化宝石	30	100
1045011003	进化元宝	30	100
1045010194	狡诈钻石	30	100
1045010195	粗鲁钻石	30	100
1045010196	暗影钻石	30	100
1045010197	寂寞钻石	30	100
1045010358	狡诈晶石	30	100
1045010359	粗鲁晶石	30	100
1045010360	暗影晶石	30	100
1045010403	无暇粗鲁钻石	30	100
1045010404	无暇粗鲁晶石	30	100
1045010405	无暇狡诈晶石	30	100
1045010400	大七福宝石	30	100
1045030001	忘情水	30	100
1045027002	求婚钻戒	30	100
1045027008	礼服兑换凭证	30	100
1045027009	婚纱兑换凭证	30	100
1045027005	VIP礼服兑换凭证	30	100
1045027006	VIP婚纱兑换凭证	30	100
1045013053	炼化宝石小礼包	30	100
1045013052	炼化宝石大礼包	30	100
1045013110	炼化宝石超级礼包	30	100
1045000348	精练宝石	30	100
1045013154	精练宝石礼包	30	100
1051000011	篮球宝贝	30	100
1051000012	足球小将	30	100
1051000016	留一刀	30	100
1051000013	超女萝莉	30	100
1051000014	赌王九命	30	100
1051000015	性感超女	30	100
1051000002	红衣舞女	30	100
1051000017	霸王花	30	100
1051000018	黑衣军官	30	100
1051000001	蝙蝠侠	30	100
1051000004	月亮萝莉	30	100
1051000003	超级里昂	30	100
1051000007	街霸-隆	30	100
1051000010	绷带凌波丽	30	100
1051000005	美少女战士	30	100
1051000006	不死星矢	30	100
1051000008	丝袜春丽	30	100
1051000023	环球小姐	30	100
1051000024	魅魔·魔理沙	30	100
1051000022	莉莉·丝	30	100
1051000021	安娜·金 	30	100
1051000026	娜娜	30	100
1051000009	米高·積臣	30	100
1051000040	野性御姐	30	100
1051000019	大黄蜂	30	100
1051000028	冬狮郎	30	100
1051000020	擎天柱	30	100
1051000030	幻兽麒麟	30	100
1051000025	光之战士	30	100
1051000029	瓦尔基里	30	100
1051000027	暗之战士	30	100
1051000031	魔女伊迪雅	30	100
1051000032	光与影的主宰	30	100
1051000033	爱与美之神	30	100
1051000041	毁灭天使	30	100
1051000042	创世女神	30	100
1050007102	女王鞭·风	30	100
1050207109	蓝魔铁衣·风	30	100
1050307115	蓝魔之裤·风	30	100
1050407121	蓝魔之靴·风	30	100
1050607127	蓝魔手套·风	30	100
1050007103	MX扫把·风	30	100
1050207110	梦幻缕衣·风	30	100
1050307116	梦幻丝裤·风	30	100
1050407122	梦幻皮鞋·风	30	100
1050607128	梦幻之手·风	30	100
1050007104	流氓板砖·风	30	100
1050207111	百变神衣·风	30	100
1050307117	百变短裤·风	30	100
1050407123	百变灵靴·风	30	100
1050607129	百变魔手·风	30	100
1050007105	甜心冰激凌·风	30	100
1050207112	上古玄衣·风	30	100
1050307118	上古玄裤·风	30	100
1050407124	上古之鞋·风	30	100
1050607130	上古之手·风	30	100
1050007106	山寨辣椒水·风	30	100
1050207113	奇妙之衣·风	30	100
1050307119	秒秒之裤·风	30	100
1050407125	秒秒皮鞋·风	30	100
1050607131	秒秒手套·风	30	100
1050007107	苍蝇拍·风	30	100
1050207114	王者圣衣·风	30	100
1050307120	王者圣裤·风	30	100
1050407126	王者圣靴·风	30	100
1050607132	王者之手·风	30	100
1050007109	YOYO的泡椒凤爪·风	30	100
1050207115	YOYO的防弹背心·风	30	100
1050307121	YOYO的迷你短裙·风	30	100
1050407127	YOYO的玻璃拖鞋·风	30	100
1050607126	YOYO的白丝长手套·风	30	100
1050007110	生者必灭之刃·风	30	100
1050207116	生者必灭之铠·风	30	100
1050307122	生者必灭之光·风	30	100
1050407128	生者必灭之翼·风	30	100
1050607125	生者必灭之痕·风	30	100
1050011102	女王鞭·火	30	100
1050211109	蓝魔铁衣·火	30	100
1050311115	蓝魔之裤·火	30	100
1050411121	蓝魔之靴·火	30	100
1050611127	蓝魔手套·火	30	100
1050011103	MX扫把·火	30	100
1050211110	梦幻缕衣·火	30	100
1050311116	梦幻丝裤·火	30	100
1050411122	梦幻皮鞋·火	30	100
1050611128	梦幻之手·火	30	100
1050011104	流氓板砖·火	30	100
1050211111	百变神衣·火	30	100
1050311117	百变短裤·火	30	100
1050411123	百变灵靴·火	30	100
1050611129	百变魔手·火	30	100
1050011105	甜心冰激凌·火	30	100
1050211112	上古玄衣·火	30	100
