goodsId	name	saleRate	buyRate
物品ID	名字	出售比率	买入比率
1041010001	超小型生命药水	30	100
1041010002	小型生命药水	30	100
1041010003	中型生命药水	30	100
1041010004	大型生命药水	30	100
1041010005	超大型生命药水	30	100
1041010006	特效生命药水	30	100
1041010007	巨型生命药水	30	100
1041010008	超级血瓶	30	100
1041020001	超小型精力药水	30	100
1041020002	小型精力药水	30	100
1041020003	中型精力药水	30	100
1041020004	大型精力药水	30	100
1041020005	超大型精力药水	30	100
1041020006	特效精力药水	30	100
1041020007	巨型精力药水	30	100
1041020008	超级蓝瓶	30	100
1041000001	回城卷轴	30	100
1045000271	金条	30	100
1044030401	风之斗气（一级）	30	100
1044030405	风之野性（一级）	30	100
1044030402	火之斗气（一级）	30	100
1044030406	火之野性（一级）	30	100
1044030403	林之斗气（一级）	30	100
1044030404	林之野性（一级）	30	100
