goodsId	name	saleRate	buyRate
物品ID	名字	出售比率	买入比率
1050007001	邪恶足球	30	100
1050005001	邪恶手枪	30	100
1050010001	邪恶针筒	30	100
1050011001	邪恶墨镜	30	100
1050202017	初级训练服	30	100
1050201017	山寨风衣	30	100
1050203017	破烂制服	30	100
1050204017	西部牛仔服	30	100
1050302017	初级训练裤	30	100
1050301017	山寨西裤	30	100
1050303017	休闲裤	30	100
1050304017	西部牛仔裤	30	100
1050402017	QM运动鞋	30	100
1050401017	山寨皮鞋	30	100
1050403017	旧短靴	30	100
1050404017	铁板鞋	30	100
1041010001	超小型生命药水	30	100
1041010002	小型生命药水	30	100
1041010003	中型生命药水	30	100
1041010004	大型生命药水	30	100
1041010005	超大型生命药水	30	100
1041010006	特效生命药水	30	100
1041010007	巨型生命药水	30	100
1041010008	超级血瓶	30	100
1041020001	超小型精力药水	30	100
1041020002	小型精力药水	30	100
1041020003	中型精力药水	30	100
1041020004	大型精力药水	30	100
1041020005	超大型精力药水	30	100
1041020006	特效精力药水	30	100
1041020007	巨型精力药水	30	100
1041020008	超级蓝瓶	30	100
1041000001	回城卷轴	30	100
1045000271	金条	30	100
1044070001	基础射门	30	100
1044070402	流星火球（一级）	30	100
1044070403	流星火球（二级）	30	100
1044070401	流星火球（三级）	30	100
1044070404	流星火球（四级）	30	100
1044070405	流星火球（五级）	30	100
1044070406	流星火球（六级）	30	100
1044070407	流星火球（七级）	30	100
1044070408	流星火球（八级）	30	100
1044070409	流星火球（九级）	30	100
1044070410	流星火球（十级）	30	100
1044070207	回旋踢（一级）	30	100
1044070201	回旋踢（二级）	30	100
1044070202	回旋踢（三级）	30	100
1044070203	回旋踢（四级）	30	100
1044070204	回旋踢（五级）	30	100
1044070205	回旋踢（六级）	30	100
1044070206	回旋踢（七级）	30	100
1044070208	回旋踢（八级）	30	100
1044070209	回旋踢（九级）	30	100
1044070210	回旋踢（十级）	30	100
1044070301	铲射（一级）	30	100
1044070302	铲射（二级）	30	100
1044070303	铲射（三级）	30	100
1044070304	铲射（四级）	30	100
1044070305	铲射（五级）	30	100
1044070306	铲射（六级）	30	100
