dropId	goodsId	goodsName	count
掉宝组ID	物品ID	物品名称	数量
900001	1045000039	超小生命宝石	1
900001	1045000040	超小精力宝石	1
900001	1045000039	超小生命宝石	1
900001	1045000040	超小精力宝石	1
900001	1045000039	超小生命宝石	1
900001	1045000040	超小精力宝石	1
900001	1045000039	超小生命宝石	1
900001	1045000040	超小精力宝石	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900002	1050000009	小妖魔力棒	1
900003	1045000022	1小时3倍经验卡	2
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900003	1045000022	1小时3倍经验卡	5
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900004	1050200002	小妖牛仔衣	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900005	1050300002	小妖牛仔裤	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900006	1050400002	小妖飞靴	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900007	1050600002	小妖护手	1
900008	1045000097	5000点经验包	1
900009	1045000098	8000点经验包	1
900010	1045000099	13000点经验包	1
900011	1045000100	60000点经验包	1
900012	1045000101	130000点经验包	1
900013	1045000102	230000点经验包	1
900014	1045000103	390000点经验包	1
900015	1045000104	275000点经验包	1
900016	1045000105	340000点经验包	1
900017	1045000106	1200000点经验包	1
900018	1045000107	2450000点经验包	1
900019	1041010006	特效生命药水	10
900019	1041020006	特效精力药水	10
900019	1045000101	130000点经验包	1
900019	1045000006	1小时2倍经验卡	1
900019	1045000008	生命宝石	1
900019	1045000010	精力宝石	1
900019	1045000043	大喇叭	10
900019	1045000100	60000点经验包	1
900020	1045011001	进化宝石	1
900020	1045011001	进化宝石	1
900020	1045011001	进化宝石	1
900020	1042010105	王国之心	1
900020	1042010105	王国之心	1
900020	1042010105	王国之心	1
900020	1045000034	4小时4倍经验卡	1
900020	1045000034	4小时4倍经验卡	1
900020	1045010400	大七福宝石	2
900020	1045010400	大七福宝石	2
900021	1045000228	代金劵礼包（150）	1
900021	1045000228	代金劵礼包（150）	1
900021	1042010105	王国之心	1
900021	1042010105	王国之心	1
900021	1045000032	2小时4倍经验卡	1
900021	1045000032	2小时4倍经验卡	1
900021	1045000032	2小时4倍经验卡	1
900021	1045010400	大七福宝石	1
900021	1045010400	大七福宝石	1
900021	1045010400	大七福宝石	1
900022	1045000135	代金券礼包（100）	1
900022	1045000135	代金券礼包（100）	1
900022	1042010105	王国之心	1
900022	1045010406	72变宝石	1
900022	1045010403	无暇粗鲁钻石	1
900022	1045010404	无暇粗鲁晶石	1
900022	1045010405	无暇狡诈晶石	1
900022	1045010403	无暇粗鲁钻石	1
900022	1045010404	无暇粗鲁晶石	1
900022	1045010405	无暇狡诈晶石	1
900023	1045000206	代金券礼包（50）	1
900023	1045000500	一千万生命宝石	1
900023	1045000500	一千万生命宝石	1
900023	1045000601	一千万精力宝石	1
900023	1045000601	一千万精力宝石	1
900023	1045000022	1小时3倍经验卡	1
900023	1045000022	1小时3倍经验卡	1
900023	1045000276	一千点荣誉值兑换道具	1
900023	1045000276	一千点荣誉值兑换道具	1
900023	1045010406	72变宝石	1
900023	1045000206	代金券礼包（50）	1
900023	1045000500	一千万生命宝石	1
900023	1045000500	一千万生命宝石	1
900023	1045000601	一千万精力宝石	1
900023	1045000601	一千万精力宝石	1
900023	1045000022	1小时3倍经验卡	1
900023	1045000022	1小时3倍经验卡	1
900023	1045000276	一千点荣誉值兑换道具	1
900023	1045000276	一千点荣誉值兑换道具	1
900023	1045000206	代金券礼包（50）	1
900024	1045000283	一桶金币	5
900024	1045000283	一桶金币	5
900024	1045000283	一桶金币	5
900024	1045000283	一桶金币	5
900024	1045010400	大七福宝石	15
900024	1045010400	大七福宝石	15
900024	1045010400	大七福宝石	15
900024	1045010400	大七福宝石	15
900024	1045010409	炼化宝石	1500
900024	1045010409	炼化宝石	1500
900024	1045010409	炼化宝石	1500
900024	1045010409	炼化宝石	1500
900024	1045000290	时之沙	1
900024	1045000290	时之沙	1
900024	1045000290	时之沙	1
900024	1045000290	时之沙	1
900024	1045010423	进化小元宝	3
900024	1045010423	进化小元宝	3
900024	1045010423	进化小元宝	3
900024	1045010423	进化小元宝	3
900024	1045010418	女武神之魂	1
900024	1045010419	魔女之魂	1
900024	1045010420	光之战士之魂	1
900024	1045010421	暗之战士之魂	1
900024	1045000349	太阳石	1
900024	1045000349	太阳石	1
900024	1045000349	太阳石	1
900025	1045000283	一桶金币	4
900025	1045010400	大七福宝石	10
900025	1045010409	炼化宝石	1000
900025	1045000290	时之沙	1
900025	1045010423	进化小元宝	3
900025	1045000345	月亮石	1
900026	1045000283	一桶金币	3
900026	1045010400	大七福宝石	7
900026	1045010409	炼化宝石	700
900026	1045000290	时之沙	1
900026	1045010423	进化小元宝	2
900026	1045000344	星星石	1
900027	1045000283	一桶金币	2
900027	1045010400	大七福宝石	5
900027	1045010409	炼化宝石	500
900027	1045010406	72变宝石	1
900027	1045010423	进化小元宝	1
900027	1045000344	星星石	1
900028	1045000283	一桶金币	1
900028	1045010400	大七福宝石	3
900028	1045010409	炼化宝石	300
900028	1045010406	72变宝石	1
900028	1045010423	进化小元宝	1
900028	1045000344	星星石	1
900029	1042020601	足球行者之星	1
900029	1042010601	篮球行者之星	1
900029	1042030601	夺命监视者之星	1
900029	1042040601	刻薄监视者之星	1
900029	1042080601	冷酷判决者之星	1
900029	1042050601	暴怒监视者之星	1
900029	1042060601	致命天使之星	1
900029	1042070601	红衣判决者之星	1
900029	1042120601	幻影战警之星	1
900029	1042090601	残暴判决者之星	1
900029	1042110601	幻影萝莉之星	1
900029	1042100601	蝙蝠判决者之星	1
900029	1042201301	靓女三人组之星	1
900029	1042170601	功夫妹阴暗体之星	1
900029	1042180601	美丽幻象之星	1
900029	1042190601	魅魔幻象之星	1
900029	1042160601	小强阴暗体之星	1
900029	1042130601	幻影拳王之星	1
900029	1042140601	幻影绷带萝莉之星	1
900029	1042150601	幻影月亮战士之星	1
900030	1042200601	怪医小分队之星	1
900030	1042200501	运动二人组之星	1
900030	1042200801	破军男女之星	1
900030	1042200701	超级双飞燕之星	1
900030	1042201001	战斗行家之星	1
900030	1042200901	月亮丽人之星	1
