time	account	name	level	data
2011-01-17-11:46:27	shouhu	超人	3534	丢弃素材之星·天上x30
2011-01-17-11:46:29	shouhu	超人	3534	丢弃素材之星·天下x15
2011-01-17-11:44:15	shouhu	超人	3534	丢弃奇妙精华x5
2011-01-17-11:44:26	shouhu	超人	3534	丢弃魔力棒x1
2011-01-17-11:44:28	shouhu	超人	3534	丢弃超小型精力药水x17
2011-01-17-11:44:30	shouhu	超人	3534	丢弃0.5小时2倍经验卡x4
2011-01-17-11:44:32	shouhu	超人	3534	丢弃超小型生命药水x18
2011-01-17-11:44:34	shouhu	超人	3534	丢弃小型生命药水x32
2011-01-17-11:44:36	shouhu	超人	3534	丢弃小型精力药水x28
2011-01-17-10:56:50	twh11	TWh11	6000	丢弃幻影萝莉之星x1
2011-01-17-10:56:52	twh11	TWh11	6000	丢弃街霸卫队之星x1
2011-01-17-10:56:54	twh11	TWh11	6000	丢弃鬼泣组合之星x2
2011-01-17-10:56:56	twh11	TWh11	6000	丢弃神秘鸡蛋x1
2011-01-17-10:56:58	twh11	TWh11	6000	丢弃巨型血瓶x1
2011-01-17-10:56:59	twh11	TWh11	6000	丢弃巨型蓝瓶x2
2011-01-17-10:57:00	twh11	TWh11	6000	丢弃追鸡令x1
2011-01-17-09:35:34	bean55	我是老大哈	1647	丢弃素材之星·天上x95
2011-01-17-09:35:36	bean55	我是老大哈	1647	丢弃素材之星·天下x34
2011-01-17-09:35:37	bean55	我是老大哈	1647	丢弃素材之星·天地x9
2011-01-17-09:35:39	bean55	我是老大哈	1647	丢弃奇妙精华x9
2011-01-17-09:35:41	bean55	我是老大哈	1647	丢弃奇妙宝石x11
