time	account	name	data
2010-12-02-09:26:59	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从0变为1
2010-12-02-09:27:02	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从1变为0
2010-12-02-09:27:05	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从0变为1
2010-12-02-09:27:08	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从1变为2
2010-12-02-09:27:10	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从2变为3
2010-12-02-09:27:12	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从3变为2
2010-12-02-09:27:15	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从2变为3
2010-12-02-09:27:17	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从3变为4
2010-12-02-09:27:19	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为5
2010-12-02-09:27:22	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:27:24	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:27:26	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为6
2010-12-02-09:27:28	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为5
2010-12-02-09:27:31	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:27:33	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:27:35	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为8
2010-12-02-09:27:38	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从8变为9
2010-12-02-09:27:40	bean02	bean02	精炼守护装备1级黄金铃铛（魔）,装备精炼值从9变为1
2010-12-02-09:19:16	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:19:19	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为6
2010-12-02-09:19:22	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:19:24	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为6
2010-12-02-09:19:27	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为5
2010-12-02-09:19:30	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为4
2010-12-02-09:19:33	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为3
2010-12-02-09:19:36	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从3变为4
2010-12-02-09:19:38	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为5
2010-12-02-09:19:41	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:19:44	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为5
2010-12-02-09:19:46	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:19:49	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:19:52	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为8
2010-12-02-09:19:55	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从8变为1
2010-12-02-09:19:58	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从1变为2
2010-12-02-09:20:02	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从2变为3
2010-12-02-09:20:05	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从3变为4
2010-12-02-09:20:08	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为3
2010-12-02-09:20:11	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从3变为4
2010-12-02-09:20:15	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为5
2010-12-02-09:20:18	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:20:23	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为5
2010-12-02-09:20:27	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:20:30	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
2010-12-02-09:20:34	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从7变为6
2010-12-02-09:20:37	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为5
2010-12-02-09:20:40	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为4
2010-12-02-09:20:43	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从4变为5
2010-12-02-09:20:46	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从5变为6
2010-12-02-09:20:49	twh11	dfs	精炼守护装备1级黄金铃铛（魔）,装备精炼值从6变为7
