time	account	name	level	data
2011-01-24-09:24:04	twh11	TWh11	6000	丢弃素材之星·天上x349
2011-01-24-09:18:39	twh11	TWh11	6000	丢弃魔力棒x1
2011-01-24-09:18:43	twh11	TWh11	6000	丢弃奇妙精华x32
2011-01-24-09:18:45	twh11	TWh11	6000	丢弃奇妙宝石x44
2011-01-24-09:18:46	twh11	TWh11	6000	丢弃一袋金币x14
2011-01-24-09:18:49	twh11	TWh11	6000	丢弃金砂x120
2011-01-24-09:18:50	twh11	TWh11	6000	丢弃素材之星·天地x21
2011-01-24-09:18:54	twh11	TWh11	6000	丢弃形象进化宝石x29
2011-01-24-09:18:56	twh11	TWh11	6000	丢弃黑蝙蝠中队之星x1
2011-01-24-09:18:59	twh11	TWh11	6000	丢弃镇山魔王宝石·天x10
2011-01-24-09:19:00	twh11	TWh11	6000	丢弃足球行者之星x1
