time	account	name	level	data
2011-01-21-17:37:28	shouhu01	守护2	1762	炼化超女萝莉,消耗[狡诈晶石x1炼化宝石x2]
2011-01-21-17:38:48	shouhu01	守护2	1762	打造改※守护者精神头饰,消耗冒险者精神头饰x1,素材之星·天上x20,素材之星·天下x5,money:0,point:500000
2011-01-21-17:36:16	shouhu01	守护2	1762	进化代金券礼包（100）,消耗[代金券礼包（100）x1代金券礼包（100）x10],消耗代金券礼包（1000）
2011-01-21-17:36:18	shouhu01	守护2	1762	进化代金券礼包（100）,消耗[代金券礼包（100）x1代金券礼包（100）x10],消耗代金券礼包（1000）
2011-01-21-17:36:20	shouhu01	守护2	1762	进化代金券礼包（100）,消耗[代金券礼包（100）x1代金券礼包（100）x10],消耗代金券礼包（1000）
2011-01-21-17:36:21	shouhu01	守护2	1762	进化代金券礼包（100）,消耗[代金券礼包（100）x1代金券礼包（100）x10],消耗代金券礼包（1000）
2011-01-21-17:36:23	shouhu01	守护2	1762	进化代金券礼包（100）,消耗[代金券礼包（100）x1代金券礼包（100）x10],消耗代金券礼包（1000）
2011-01-21-17:20:50	shouhu01	守护2	1715	打造熟练牛仔服,消耗初心牛仔服x1,素材之星·天上x20,素材之星·天下x10,奇妙宝石x2,红衣判决者之星x1,money:0,point:300000
2011-01-21-17:17:47	shouhu01	守护2	1715	打造熟练霹雳手套,消耗初心霹雳手套x1,素材之星·天上x20,素材之星·天下x10,奇妙宝石x2,幻影月亮战士之星x1,money:0,point:300000
2011-01-21-17:14:51	shouhu01	守护2	1715	丢弃巨型生命药水x1
2011-01-21-17:13:16	shouhu01	守护2	1715	丢弃火星之石·天x1
2011-01-21-17:10:15	shouhu01	守护2	1715	打造熟练墨镜,消耗初心墨镜x1,素材之星·天上x20,素材之星·天下x10,奇妙宝石x2,刻薄监视者之星x1,money:0,point:300000
2011-01-21-16:13:16	twh11	TWh11	6000	丢弃1级寒冰之盾（暗）x1
2011-01-21-16:16:03	twh11	TWh11	6000	丢弃1级岩石之盾（暗）x1
2011-01-21-16:10:07	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从8变为1.
2011-01-21-16:10:10	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从1变为2.
2011-01-21-16:10:13	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从2变为3.
2011-01-21-16:10:15	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从3变为2.
2011-01-21-16:10:18	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从2变为3.
2011-01-21-16:10:20	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从3变为4.
2011-01-21-16:10:23	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为5.
2011-01-21-16:10:26	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从5变为4.
2011-01-21-16:10:28	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为5.
2011-01-21-16:10:31	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从5变为4.
2011-01-21-16:10:33	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为3.
2011-01-21-16:10:36	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从3变为2.
2011-01-21-16:10:39	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从2变为3.
2011-01-21-16:10:41	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从3变为4.
2011-01-21-16:10:44	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为5.
2011-01-21-16:10:48	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从5变为4.
2011-01-21-16:10:51	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为5.
2011-01-21-16:10:55	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从5变为4.
2011-01-21-16:10:57	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从4变为5.
2011-01-21-16:11:00	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从5变为6.
2011-01-21-16:11:03	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从6变为7.
2011-01-21-16:11:05	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从7变为6.
2011-01-21-16:11:08	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从6变为7.
2011-01-21-16:11:11	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从7变为6.
2011-01-21-16:11:14	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从6变为7.
2011-01-21-16:11:16	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从7变为6.
2011-01-21-16:11:19	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从6变为7.
2011-01-21-16:11:22	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从7变为6.
2011-01-21-16:11:25	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从6变为7.
2011-01-21-16:11:27	shouhu	超人	6000	精炼守护装备1级寒冰之盾（暗）,装备精炼值从7变为8.
