time	account	name	data
2010-12-15-17:39:32	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从0变为1.
2010-12-15-17:39:36	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从1变为2.
2010-12-15-17:37:27	shouhu	守护	炼化光与影的主宰,消耗[大七福宝石x1炼化宝石x100money:500]
2010-12-15-17:28:39	shouhu	守护	炼化创世女神,消耗[大七福宝石x1炼化宝石x800]
2010-12-15-16:46:42	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从0变为1.
2010-12-15-16:46:44	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从1变为2.
2010-12-15-16:46:47	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从2变为3.
2010-12-15-16:46:50	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从3变为4.
2010-12-15-16:46:52	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从4变为5.
2010-12-15-16:46:55	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从5变为6.
2010-12-15-16:46:58	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从6变为7.
2010-12-15-16:47:00	shouhu	守护	精炼守护装备1级狮心（物）,装备精炼值从7变为8.
2010-12-15-16:47:10	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从0变为1.
2010-12-15-16:47:13	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从1变为2.
2010-12-15-16:47:16	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从2变为1.
2010-12-15-16:47:20	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从1变为2.
2010-12-15-16:47:23	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从2变为3.
2010-12-15-16:47:26	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从3变为4.
2010-12-15-16:47:29	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从4变为5.
2010-12-15-16:47:33	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从5变为6.
2010-12-15-16:47:36	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从6变为5.
2010-12-15-16:47:38	shouhu	守护	精炼守护装备1级金刚爪（物）,装备精炼值从5变为6.
2010-12-15-16:40:23	shouhu	守护	炼化创世女神,消耗[大七福宝石x1炼化宝石x800]
2010-12-15-16:40:28	shouhu	守护	炼化创世女神,消耗[大七福宝石x1炼化宝石x200money:600]
2010-12-15-16:40:33	shouhu	守护	炼化创世女神,消耗[大七福宝石x1money:800]
