time	account	name	level	data
2010-12-17-15:14:37	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:14:40	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:14:43	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:14:46	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:14:50	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:14:53	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:14:55	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:14:58	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:15:01	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为7.
2010-12-17-15:15:03	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从7变为8.
2010-12-17-15:15:06	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从8变为9.
2010-12-17-15:11:36	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从7变为8.
2010-12-17-15:11:39	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从8变为1.
2010-12-17-15:11:42	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:11:45	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为1.
2010-12-17-15:11:47	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:11:50	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:11:53	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为2.
